hgnc_id,logFC,Pvalue
H4C5,1.47956616979662,3.7334921210507E-04
PIGQ,-0.300071580156369,3.7465234288497E-04
DHX36,0.235142693340036,3.7510738068974E-04
CMPK2,1.39067415898313,3.795697760959E-04
IFITM1,0.489911380331829,3.7967556229369E-04
BRIX1,0.320890807354139,3.8084535479803E-04
ZPR1,0.294532241044612,3.816504199403E-04
CCNT1,0.305812171288993,3.862730679483E-04
RAI14,0.263545123071044,3.8724527097973E-04
ACTG2,1.1038228320948,3.8731158164992E-04
ENTPD8,-0.844653523904415,3.8898770983986E-04
PRDM4,0.287905759325508,3.9087118510406E-04
CCBE1,-0.403798669944556,3.9380102353139E-04
APOBEC3G,-0.32063229722162,4.0008574434706E-04
CSNK1G1,0.333381920325572,4.0064034264127E-04
FAM131B,0.292650892616721,4.0471084285107E-04
CNNM2,-0.371326999964168,4.0658928117798E-04
MED15,0.22472937141203,4.0835807750683E-04
MAGEF1,-0.285208297522924,4.1222798768035E-04
TAP2,0.561654111609123,4.1268867408485E-04
BARD1,0.369993133297927,4.173588102916E-04
LHFPL6,0.426626524999208,4.2180904061189E-04
TOP2A,-0.19038248257004,4.2269657183076E-04
USF2,-0.232599253393205,4.2305214849353E-04
FKBP5,0.400137506933457,4.2334401730096E-04
ZFP42,0.249317210500534,4.2578274894466E-04
CTSA,-0.278409569302164,4.3640653660264E-04
SLC7A1,0.278664946215163,4.390031591637E-04
KDM4B,-0.235121530460045,4.4165314986627E-04
GDF15,0.53985063032504,4.436625784553E-04
MRGPRX1,-3.3243060889482,4.4688975445357E-04
EIF2AK2,0.316602126104069,4.4747315221601E-04
CSRP1,0.293318711042778,4.4843894488363E-04
ADM,0.72917004406534,4.5005601044279E-04
CPNE1,-0.25092471825952,4.5243679345597E-04
NEK3,0.475938953376456,4.5569945611592E-04
SULT4A1,1.07976297114934,4.5572364724118E-04
